Id,County,Name,Address,Lat,Lon,CapSqFt,CapPersons,CapReporte,GeoID
"1",Baker,Baker MS,211 E. Jonathan Street,30.275176999999999,-82.118910999999997,"34023","865","0","120030401021"
"2",Baker,New Macclenny Elementary,1 Wildkitten Drive,30.297955000000002,-82.131118000000001,"37290","1723","1675","120030401011"
"3",Baker,Phoenix Center,523 W. Minnesota Ave,30.276468999999999,-82.130312000000004,"6639","321","0","120030401022"
"4",Baker,Westside ES,One Panther Circle,30.280926000000001,-82.158455000000004,"11418","570","0","120030402021"
"5",Clay,Argyle Elementary School,2625 Spencer Plantation Blvd,30.176546999999999,-81.788298999999995,"4500","225","225","120190302031"
"6",Clay,Clay Hill Elementary School,6345 CR 218,30.144316000000000,-82.008313000000001,"5260","263","263","120190301021"
"7",Clay,Coppergate Elementary,2250 CR 209 North,30.031072999999999,-81.707310000000007,"6220","311","311","120190313002"
"8",Clay,Fleming Island High,2233 Village Square Parkway,30.087133000000001,-81.712772000000001,"20859","1043","497","120190307022"
"9",Clay,Green Cove Springs Junior HS,1220 Bonaventure Avenue,29.990521000000001,-81.689676000000006,"8860","443","443","120190314003"
"10",Clay,Lake Asbury Elementary School,2902 Sandridge Road,30.045532999999999,-81.807382000000004,"21860","1093","1093","120190312001"
"11",Clay,Montclair Elementary School,2398 Moody Road,30.158379000000000,-81.724530000000001,"10600","530","0","120190305001"
"12",Clay,Oakleaf Village ES,410 Oakleaf Village Park,30.179528000000001,-81.820329999999998,"5440","272","272","120190302032"
"13",Clay,Orange Park High School,2300 Kingsley Avenue,30.163729000000000,-81.744191999999998,"14920","746","746","120190308011"
"14",Clay,Rideout Elementary School,3065 Apalachicola Blvd,30.092929000000002,-81.806725000000000,"7900","395","395","120190302022"
"15",Clay,Shadowlawn ES,2945 CR 218,30.015205999999999,-81.813149999999993,"5440","272","272","120190312002"
"16",Clay,Tynes Elementary School,1550 Tynes Boulevard,30.118670000000002,-81.846360000000004,"50320","2516","2196","120190302011"
"17",Duval,Abess Park Elementary,12731 Abess Blvd,30.322939999999999,-81.477734999999996,"88269","4270","4395","120310143361"
"18",Duval,Andrew A. Robinson Elementary School,101 12th Street West,30.351645000000001,-81.656509000000000,"47451","1898","1853","120310013003"
"19",Duval,Arlington Middle School,8141 Lone Star Road,30.340012999999999,-81.569987999999995,"63545","3178",,"120310150013"
"20",Duval,Atlantic Coast High School,9735 AC Skinner Parkwy,30.202801000000001,-81.506234000000006,"25720","1286","1286","120310144121"
"21",Duval,"Axson, John Allen ES",4763 Sutton Park Court,30.255289000000001,-81.460398999999995,"25700","1285","300","120310144103"
"22",Duval,Baldwin COM C,275 US-301 NORTH,30.304445000000001,-81.971585000000005,"1943","97",,"120310173004"
"23",Duval,Chaffee Trail Elem School,11400 Sam Caruso Way,30.279059000000000,-81.852286000000007,"16000","800","800","120310137211"
"24",Duval,Chets Creek Elementary School,13200 Chets Creek Blvd,30.266387000000002,-81.469153000000006,"88824","4395","3982","120310144093"
"25",Duval,Chimney Lakes Elementary School,9353 Staples Mill Road,30.195924000000002,-81.802631000000005,"85144","3665","3894","120310137272"
"26",Duval,Crystal Springs Elementary School,1200 Hammond Blvd.,30.300642000000000,-81.799305000000004,"66200","3310","4671","120310119021"
"27",Duval,Don Brewer Elementary School,3385 Hartsfield,30.360343000000000,-81.557947999999996,"11972","598","598","120310149022"
"28",Duval,Douglas Anderson School of the Arts,2445 San Diego Road,30.301342000000002,-81.638675000000006,"18000","900","600","120310006004"
"29",Duval,Enterprise Academy,8085 Old Middleburg Rd S,30.199708999999999,-81.820903000000001,"23680","1184",,"120310137263"
"30",Duval,Fla State College Jacksonville (FSCJ) CECIL FIELD,13450 Lake Fretwell St.,30.225247000000000,-81.886894999999996,"14160","708","708","120310173002"
"31",Duval,Kernan Trails Elementary School,2281 Kernan Blvd south,30.304389000000000,-81.481926000000001,"11334","567","567","120310143261"
"32",Duval,LaVilla Middle School of the Arts,501 Davis Street North,30.332402999999999,-81.667773999999994,"64219","2814","2046","120310172001"
"33",Duval,Mandarin Oaks Elementary School,10600 Hornets Nest Road,30.185055999999999,-81.587742000000006,"154193","8984","6593","120310167281"
"34",Duval,Oceanway Elementary School,143 Oceanway Avenue,30.467328999999999,-81.631294999999994,"36557","1462","537","120310102011"
"35",Duval,Sabal Palm Elementary School,1201 Kernan Road,30.342334999999999,-81.488744999999994,"158624","6034","6593","120310143362"
"36",Duval,The Legends Center of City of Jacksonville,5130 Soutel Drive,30.396198999999999,-81.725915000000001,"9560","478","478","120310109002"
"37",Duval,Twin Lakes Academy,8050 Point Meadows Drive,30.222041999999998,-81.515851999999995,"77140","3587","5226","120310144061"
"38",Duval,Waterleaf ES,450 Kernan Blvd. N.,30.333089999999999,-81.490595999999996,"16385","820","820","120310143283"
"39",Duval,Westview K-8,5270 Connie Jean Road,30.252530000000000,-81.822338999999999,"16340","817","817","120310137212"
"40",Nassau,Bryceville Elementary School,6504 Church Rd,30.386126999999998,-81.939993999999999,"2550","128","64","120890505042"
"41",Nassau,Callahan Middle School,450121 Old Dixie Hwy,30.569759000000001,-81.840449000000007,"7952","528","311","120890505031"
"42",Nassau,Hilliard Elementary School,275568 Ohio St,30.692513999999999,-81.932107000000002,"23756","1234","326","120890504003"
"43",Nassau,West Nassau Sr High School,1 Warrior Drive,30.557661000000000,-81.830976000000007,"8579","561","280","120890505033"
"44",Nassau,Yulee Elementary School,86063 Felmore Rd,30.631798000000000,-81.586155000000005,"13946","774","185","120890503022"
"45",Nassau,Yulee High School,85375 Miner Rd,30.610437999999998,-81.580053000000007,"53627","2338","1930","120890503023"
"46",St. John's,Creekside High School,100 Knights Lane,30.081109999999999,-81.562971000000005,"45822","2291","1000","121090208061"
"47",St. John's,Cunningham Creek Elementary School,1205 Roberts Road,30.076720000000002,-81.612758999999997,"33122","1669","2400","121090208052"
"48",St. John's,Durbin Creek Elementary,4100 Race Track Road,30.105439000000001,-81.552142000000003,"54255","1501","500","121090208051"
"49",St. John's,Fruit Cove Middle School,2680 Race Track Road,30.110239000000000,-81.578091000000001,"28060","1122","500","121090208021"
"50",St. John's,Julington Creek Elementary School,2316 Racetrack Road,30.116078999999999,-81.602615000000000,"7567","378",,"121090208022"
"51",St. John's,Otis Mason Elementary School,207 Mason Manatee Way,29.828820000000000,-81.373979000000006,"64099","2897","500","121090212032"
"52",St. John's,Pacetti Bay Middle School,245 Meadowlark Lane,29.944752000000001,-81.502932999999999,"8000","660",,"121090209021"
"54",St. John's,Switzerland Point Middle School,777 Greenbriar Road,30.062760999999998,-81.647551000000007,"397349","4459","1300","121090208041"
"55",St. John's,Timberlin Creek Elem School,555 Pine Tree Lane,30.043248999999999,-81.565856999999994,"27159","1358","1000","121090209023"
"56",St. John's,W Douglas Hartley Elementary School,260 Cacique Drive,29.789404999999999,-81.311044999999993,"9415","471","335","121090212031"
