startTime,endTime,eventID,roadID,value1,value2,,,,,,,
0,82800,1,101210,5,-999,,,,,,,
0,82800,1,104549,5,-999,,,,,,,
0,82800,1,104552,5,-999,,,,,,,
0,82800,1,101212,5,-999,,,,,,,
0,82800,1,104545,5,-999,,,,,,,
0,82800,1,104562,5,-999,,,,,,,
0,82800,1,104162,5,-999,,,,,,,
0,82800,1,104571,5,-999,,,,,,,
0,82800,1,104163,5,-999,,,,,,,
0,82800,1,104165,5,-999,,,,,,,
0,82800,1,104571,5,-999,,,,,,,
0,82800,1,104550,5,-999,,,,,,,
0,82800,1,104557,5,-999,,,,,,,
0,82800,1,104558,5,-999,,,,,,,
0,82800,1,104561,5,-999,,,,,,,
0,82800,1,104564,5,-999,,,,,,,
0,82800,1,104566,5,-999,,,,,,,
0,82800,1,104565,5,-999,,,,,,,
0,82800,1,104568,5,-999,,,,,,,
0,82800,1,104569,5,-999,,,,,,,
0,82800,1,104567,5,-999,,,,,,,
0,82800,1,101209,5,-999,,,,,,,
0,82800,1,104550,5,-999,,,,,,,
0,82800,1,104551,5,-999,,,,,,,
0,82800,1,101211,5,-999,,,,,,,
0,82800,1,104561,5,-999,,,,,,,
0,82800,1,104563,5,-999,,,,,,,
0,82800,1,104560,5,-999,,,,,,,
156501,206154,3,103316,-999,-999,,,,,,,
198654,237843,3,104535,-999,-999,,,,,,,
186739,198590,3,102717,-999,-999,,,,,,,
182194,184372,3,100764,-999,-999,,,,,,,
70005,81330,3,100458,-999,-999,,,,,,,
83992,143764,3,101384,-999,-999,,,,,,,
102290,115680,3,103214,-999,-999,,,,,,,
145623,200455,3,100771,-999,-999,,,,,,,
141322,170904,3,104551,-999,-999,,,,,,,
181332,256210,3,103493,-999,-999,,,,,,,
185583,244365,3,103447,-999,-999,,,,,,,
162244,162256,3,104461,-999,-999,,,,,,,
139388,149710,3,103888,-999,-999,,,,,,,
102670,123721,3,104477,-999,-999,,,,,,,
112176,116716,3,103738,-999,-999,,,,,,,
89783,113216,3,104848,-999,-999,,,,,,,
165932,194009,3,101277,-999,-999,,,,,,,
90440,169271,3,104678,-999,-999,,,,,,,
165381,228118,3,103164,-999,-999,,,,,,,
90680,152930,3,101395,-999,-999,,,,,,,
164268,208102,3,100213,-999,-999,,,,,,,
186071,243884,3,100894,-999,-999,,,,,,,
192965,261479,3,102679,-999,-999,,,,,,,
196540,257901,3,102749,-999,-999,,,,,,,
59399,137099,3,103206,-999,-999,,,,,,,
173175,191895,3,103230,-999,-999,,,,,,,
68682,116218,3,103278,-999,-999,,,,,,,
181915,211627,3,104384,-999,-999,,,,,,,
159966,219252,3,104454,-999,-999,,,,,,,
165519,178332,3,104538,-999,-999,,,,,,,